"Name","Gender","Leadership","BIO level","CHM level","PHY level"
"Alon","M","","SL"," "," "
"Alla","F","","HL","HL"," "
"Amin","M",""," ","HL","HL"
"Amca","M","","SL"," "," "
"Boea","F","","HL"," "," "
"Buot","M","","SL"," "," "
"Cara","F","","SL"," "," "
"Chla","F","","HL","SL"," "
"Cola","F",""," "," ","SL"
"Cole","F","","SL"," "," "
"Daéo","M",""," "," ","HL"
"Deio","M","","SL"," "," "
"Deil","F","","SL"," "," "
"Derc","M","","HL"," "," "
"Dugo","M",""," ","HL","SL"
"Duas","M",""," ","HL","SL"
"Dueu","M",""," "," ","SL"
"Elus","M","","HL"," "," "
"Eska","F","","HL","SL"," "
"Evia","F","","HL","HL"," "
"Fane","F","","SL"," "," "
"Girn","M",""," ","HL","HL"
"Hege","M",""," ","SL","HL"
"Hean","M","","HL","SL"," "
"Hiya","M","","SL"," "," "
"Hily","F",""," "," ","HL"
"Isha","F","","SL"," "," "
"Isam","M","","SL"," "," "
"Kone","M","","SL"," "," "
"Laly","F",""," "," ","HL"
"Lese","F","","HL"," "," "
"Lele","F","","SL"," "," "
"Mana","F",""," ","SL","HL"
"Maah","F","","HL","SL"," "
"Maay","F","","HL","HL"," "
"Maus","M","","SL"," "," "
"Mien","M","","HL","HL"," "
"Moel","M","","HL","HL"," "
"Moll","F","","HL"," "," "
"Ngia","F","","SL"," "," "
"Piéo","M","","SL"," "," "
"Poej","M","","HL","SL"," "
"Prin","M","","SL"," "," "
"Rola","F","","SL"," "," "
"Ruva","F","","SL"," "," "
"Sara","F","","SL"," "," "
"Saad","M","","SL"," "," "
"Sard","M",""," "," ","SL"
"Sais","F","","HL","HL"," "
"Soco","M","","HL","HL"," "
"Spia","F","","SL"," "," "
"Stna","F",""," ","HL","HL"
"Tasa","F","","HL"," "," "
"Taun","F","","SL"," "," "
"Vite","F",""," "," ","SL"
"Weng","M",""," ","SL","HL"
"Yaie","M",""," ","HL","HL"
"Ypis","M",""," "," ","HL"
"Zuia","F","","HL","HL"," "
